epoch,learning_rate,loss,val_loss
0,9.999999747378752e-05,2.6873669624328613,5.4812517166137695
1,9.999999747378752e-05,3.5258851051330566,8.648305892944336
2,9.999999747378752e-05,1.0408049821853638,11.606903076171875
3,9.999999747378752e-05,2.3408188819885254,9.272993087768555
4,4.999999873689376e-05,0.7583446502685547,3.3780462741851807
5,4.999999873689376e-05,1.7004473209381104,2.4710216522216797
6,4.999999873689376e-05,0.37363192439079285,4.767137050628662
7,4.999999873689376e-05,0.3619077503681183,12.645133018493652
8,4.999999873689376e-05,0.8282508850097656,10.842939376831055
9,2.499999936844688e-05,1.2090513706207275,5.670072555541992
